Transaction Date,Description,Amount,Category
11/26/2018,Payment Thank You - Web,16.0,Credit/Card Payment
11/26/2018,AUTOMATIC PAYMENT - THANK,25.0,Credit/Card Payment
10/21/2018,B CAFE,-41.0,Restaurant
10/16/2018,Payment Thank You-Mobile,2.18,Credit/Card Payment
09/26/2018,AUTOMATIC PAYMENT - THANK,2.18,Credit/Card Payment
09/12/2018,MCDONALD'S F14780,-2.18,Restaurant
08/25/2018,MCDONALD'S F14780,-1.09,Restaurant
08/26/2018,AUTOMATIC PAYMENT - THANK,3.27,Credit/Card Payment
08/16/2018,MCDONALD'S F2663,-1.09,Restaurant
07/28/2018,MCDONALD'S F2663,-1.09,Restaurant
07/09/2018,MCDONALD'S F2663,-1.09,Restaurant
07/06/2018,MCDONALD'S F2663,-1.09,Restaurant
07/03/2018,Payment Thank You-Mobile,71.06,Credit/Card Payment
06/21/2018,MCDONALD'S F14780,-3.26,Restaurant
06/16/2018,MCDONALD'S F14780,-1.09,Restaurant
06/15/2018,OBAO,-15.86,Restaurant
06/13/2018,MCDONALD'S F14780,-5.87,Restaurant
06/11/2018,CAFE OLYMPIA 55,-6.86,Restaurant
06/01/2018,MCDONALD'S F14780,-4.34,Restaurant
06/02/2018,TRADER JOE'S #544 QPS,-28.44,Grocery
06/01/2018,WHOLEFDS MTE #10408,-5.34,Grocery
05/24/2018,Payment Thank You-Mobile,14.38,Credit/Card Payment
04/27/2018,MCDONALD'S F2663,-1.09,Restaurant
04/25/2018,WHOLEFDS MTE #10408,-13.29,Grocery
04/19/2018,Payment Thank You-Mobile,30.3,Credit/Card Payment
04/01/2018,PURCHASE INTEREST CHARGE,-0.86,Finance
03/26/2018,AUTOMATIC PAYMENT - THANK,25.0,Credit/Card Payment
03/01/2018,MCDONALD'S F2663,-1.09,Restaurant
03/01/2018,PURCHASE INTEREST CHARGE,-0.87,Finance
02/25/2018,MCDONALD'S F14780,-1.09,Restaurant
02/26/2018,AUTOMATIC PAYMENT - THANK,25.0,Credit/Card Payment
02/09/2018,MCDONALD'S F2663,-1.09,Restaurant
02/02/2018,CHEWY.COM,59.87,Pet
02/01/2018,MCDONALD'S F2663,-1.09,Restaurant
01/30/2018,CHEWY.COM,-59.87,Pet
01/27/2018,MCDONALD'S F14780,-1.09,Restaurant
01/25/2018,HOT KITCHEN.,-23.56,Restaurant
01/15/2018,RACEWAY 6813  06968135,-18.71,Travel/Gas
01/12/2018,RACEWAY 6813  06968135,-19.75,Travel/Gas
01/10/2018,CORNER STORE 0238,-11.1,Travel/Gas
01/07/2018,Payment Thank You-Mobile,95.3,Credit/Card Payment
01/01/2018,PURCHASE INTEREST CHARGE,-1.95,Finance
12/26/2017,AUTOMATIC PAYMENT - THANK,25.0,Credit/Card Payment
